-89.22993678,-89.23061493,-89.23129142,-89.23196623,-89.23263937,-89.23331083,-89.23398061,-89.23464871,-89.23531511,-89.23597981
-89.23106736,-89.23174651,-89.23242399,-89.2330998,-89.23377394,-89.2344464,-89.23511717,-89.23578626,-89.23645365,-89.23711935
-89.23219734,-89.23287749,-89.23355597,-89.23423278,-89.23490792,-89.23558138,-89.23625315,-89.23692323,-89.23759162,-89.23825831
-89.23332672,-89.23400787,-89.23468736,-89.23536517,-89.2360413,-89.23671576,-89.23738853,-89.23805961,-89.238729,-89.23939669
-89.23445549,-89.23513765,-89.23581814,-89.23649695,-89.23717409,-89.23784955,-89.23852332,-89.23919541,-89.23986579,-89.24053448
-89.23558365,-89.23626682,-89.23694831,-89.23762814,-89.23830628,-89.23898274,-89.23965752,-89.24033061,-89.241002,-89.24167169
-89.2367112,-89.23739538,-89.23807788,-89.23875871,-89.23943787,-89.24011534,-89.24079112,-89.24146521,-89.24213761,-89.2428083
-89.23783814,-89.23852332,-89.23920684,-89.23988868,-89.24056885,-89.24124733,-89.24192412,-89.24259922,-89.24327263,-89.24394433
-89.23896445,-89.23965066,-89.24033519,-89.24101804,-89.24169922,-89.24237871,-89.24305652,-89.24373263,-89.24440704,-89.24507976
-89.24009015,-89.24077737,-89.24146292,-89.24214679,-89.24282899,-89.24350949,-89.24418831,-89.24486544,-89.24554086,-89.24621459
